t,l,x,y,z,Unnamed: 5
1144,1,-0.98,-0.08,0.05,
1146,1,-0.98,-0.08,0.05,
1147,1,-0.98,-0.08,0.05,
1149,1,-0.98,-0.08,0.05,
1151,1,-0.98,-0.08,0.05,
1152,1,-0.99,-0.09,0.0,
1154,1,-0.99,-0.09,0.0,
1156,1,-0.99,-0.09,0.0,
1157,1,-0.99,-0.09,0.0,
1159,1,-0.99,-0.09,0.0,
1161,1,-0.99,-0.09,0.0,
1162,1,-0.98,-0.1,-0.04,
1164,1,-0.98,-0.1,-0.04,
1166,1,-0.98,-0.1,-0.04,
1167,1,-0.98,-0.1,-0.04,
1169,1,-0.98,-0.1,-0.04,
1171,1,-0.98,-0.1,-0.04,
1172,1,-0.97,-0.11,0.01,
1174,1,-0.97,-0.11,0.01,
1176,1,-0.97,-0.11,0.01,
1177,1,-0.97,-0.11,0.01,
1179,1,-0.97,-0.11,0.01,
1181,1,-0.97,-0.11,0.01,
1182,1,-0.98,-0.11,0.06,
1184,1,-0.98,-0.11,0.06,
1186,1,-0.98,-0.11,0.06,
1187,1,-0.98,-0.11,0.06,
1189,1,-0.98,-0.11,0.06,
1191,1,-0.98,-0.11,0.06,
1192,1,-0.97,-0.1,0.11,
1194,1,-0.97,-0.1,0.11,
1196,1,-0.97,-0.1,0.11,
1197,1,-0.97,-0.1,0.11,
