t,l,x,y,z,
2760511,0,-0.98,-0.02,0.09,
2760513,0,-0.98,-0.02,0.11,
2760514,0,-0.98,-0.02,0.11,
2760516,0,-0.98,-0.02,0.11,
2760518,0,-0.98,-0.02,0.11,
2760519,0,-0.98,-0.02,0.11,
2760521,0,-0.98,-0.02,0.11,
2760523,0,-0.98,-0.01,0.1,
2760524,0,-0.98,-0.01,0.1,
2760526,0,-0.98,-0.01,0.1,
2760528,0,-0.98,-0.01,0.1,
2760529,0,-0.98,-0.01,0.1,
2760531,0,-0.98,-0.01,0.1,
2760533,0,-0.98,0,0.09,
2760534,0,-0.98,0,0.09,
2760536,0,-0.98,0,0.09,
2760538,0,-0.98,0,0.09,
2760539,0,-0.98,0,0.09,
2760541,0,-0.98,0,0.09,
2760543,0,-0.97,0.01,0.08,
2760544,0,-0.97,0.01,0.08,
2760546,0,-0.97,0.01,0.08,
2760547,0,-0.97,0.01,0.08,
2760549,0,-0.97,0.01,0.08,
2760551,0,-0.97,0.01,0.08,
2760552,0,-0.97,0.01,0.06,
2760554,0,-0.97,0.01,0.06,
2760556,0,-0.97,0.01,0.06,
2760557,0,-0.97,0.01,0.06,
2760559,0,-0.97,0.01,0.06,
2760561,0,-0.97,0.01,0.06,
2760562,0,-0.98,-0.02,0.04,
2760564,0,-0.98,-0.02,0.04,
2760566,0,-0.98,-0.02,0.04,
2760567,0,-0.98,-0.02,0.04,
2760569,0,-0.98,-0.02,0.04,
2760570,0,-0.98,-0.02,0.04,
2760572,0,-0.99,-0.05,0.04,
2760574,0,-0.99,-0.05,0.04,
2760575,0,-0.99,-0.05,0.04,
2760577,0,-0.99,-0.05,0.04,
2760579,0,-0.99,-0.05,0.04,
2760580,0,-0.99,-0.05,0.04,
2760582,0,-0.99,-0.05,0.02,
2760584,0,-0.99,-0.05,0.02,
2760585,0,-0.99,-0.05,0.02,
2760587,0,-0.99,-0.05,0.02,
2760589,0,-0.99,-0.05,0.02,
2760590,0,-0.99,-0.05,0.02,
2760592,0,-0.98,-0.06,-0.02,
2760594,0,-0.98,-0.06,-0.02,
2760595,0,-0.98,-0.06,-0.02,
2760597,0,-0.98,-0.06,-0.02,
2760599,0,-0.98,-0.06,-0.02,
2760600,0,-0.98,-0.06,-0.02,
2760602,0,-0.98,-0.05,-0.04,
2760604,0,-0.98,-0.05,-0.04,
2760605,0,-0.98,-0.05,-0.04,
2760607,0,-0.98,-0.05,-0.04,
2760609,0,-0.98,-0.05,-0.04,
2760610,0,-0.98,-0.05,-0.05,
2760612,0,-0.98,-0.04,-0.05,
2760614,0,-0.98,-0.04,-0.05,
2760616,0,-0.98,-0.04,-0.05,
2760617,0,-0.98,-0.04,-0.05,
2760619,0,-0.98,-0.04,-0.05,
2760621,0,-0.98,-0.03,-0.04,
2760622,0,-0.98,-0.03,-0.04,
2760624,0,-0.98,-0.03,-0.04,
2760626,0,-0.98,-0.03,-0.04,
2760627,0,-0.98,-0.03,-0.04,
2760629,0,-0.98,-0.03,-0.04,
2760631,0,-0.97,-0.02,-0.03,
2760632,0,-0.97,-0.02,-0.03,
